Barras	Linhas	Tipos_Linhas	#SE	VSE[kV]	Tipos_S/E
418	476	4	1	10	1

tipo	2

emax[W]	nimax
0.1	10

Tipos Linhas
Tipo	R	X	Imax	CF[k$/km]	CR[k$/km]
0	0.3655	0.2520	400	70	60
1	0.2921	0.2466	450	80	70
2	0.2359	0.2402	600	100	80
3	0.1932	0.2279	650	110	90

Tipos S/E
Tipo	kVAmax	CF[$]	CV[$/A2]	CR[$]
0	20000	400	0.0012	100

Subestações
Barra	Tipo	Construida	Ativa
0	0	1	1

Dados Linhas
Envio	Recibo	Tipo	Longitude_[km]	Construida	Ativa
0	415	0	0	1	1
383	67	0.0310675	0.02142	1	1
88	66	0.1078225	0.07434	1	1
224	223	0.069445	0.04788	1	1
20	71	0.193715	0.13356	1	1
65	383	0.0347225	0.02394	1	1
2	19	0.610385	0.42084	1	1
223	221	0.069445	0.04788	1	1
71	73	0.02193	0.01512	1	1
69	381	0.0310675	0.02142	1	1
19	50	0.08772	0.06048	1	1
221	220	0.08772	0.06048	1	1
75	71	0.054825	0.0378	1	1
381	65	0.032895	0.02268	1	1
50	51	0.069445	0.04788	1	1
220	219	0.084065	0.05796	1	1
74	80	0.084065	0.05796	1	1
58	69	0.0537285	0.037044	1	1
51	55	0.11696	0.08064	1	1
416	272	0.0142545	0.009828	1	1
80	75	0.0529975	0.03654	1	1
67	84	0.02924	0.02016	1	1
55	26	0.09503	0.06552	1	1
416	273	0.115498	0.079632	1	1
73	74	0.105995	0.07308	1	1
67	92	0.084065	0.05796	1	1
26	30	0.10234	0.07056	1	1
273	274	0.0836995	0.057708	1	1
71	72	0.098685	0.06804	1	1
59	57	0.010965	0.00756	1	1
30	39	0.105995	0.07308	1	1
274	208	0.139621	0.096264	1	1
72	79	0.0731	0.0504	1	1
64	70	0.0712725	0.04914	1	1
39	46	0.091375	0.063	1	1
274	275	0.1158635	0.079884	1	1
72	76	0.076755	0.05292	1	1
68	64	0.0310675	0.02142	1	1
50	53	0.054825	0.0378	1	1
275	263	0.1151325	0.07938	1	1
76	77	0.05117	0.03528	1	1
58	68	0.021199	0.014616	1	1
53	23	0.0731	0.0504	1	1
262	263	0.068714	0.047376	1	1
78	82	0.24123	0.16632	1	1
62	60	0.10965	0.0756	1	1
23	28	0.09503	0.06552	1	1
261	262	0.0630936	0.0532656	1	1
81	79	0.0731	0.0504	1	1
70	62	0.022661	0.015624	1	1
28	33	0.1151325	0.07938	1	1
260	261	0.037973	0.032058	1	1
77	78	0.02193	0.01512	1	1
60	59	0.04386	0.03024	1	1
33	46	0.1736125	0.1197	1	1
258	260	0.0511175	0.043155	1	1
82	89	0.1209805	0.083412	1	1
57	61	0.129387	0.089208	1	1
46	20	0.084065	0.05796	1	1
256	258	0.068714	0.047376	1	1
76	58	0.38743	0.26712	1	1
63	66	0.0449565	0.030996	1	1
19	43	0.01462	0.01008	1	1
371	238	0.0265811	0.0224406	1	1
122	417	0.013524	0.015953	1	1
66	67	0.086258	0.059472	1	1
43	24	0.127925	0.0882	1	1
263	264	0.072369	0.049896	1	1
119	93	0.2538284	0.2584552	1	1
61	63	0.0603075	0.04158	1	1
24	34	0.127925	0.0882	1	1
368	346	0.13158	0.09072	1	1
119	122	0.294875	0.30025	1	1
57	19	0.59211	0.40824	1	1
34	37	0.08041	0.05544	1	1
368	369	0.208335	0.14364	1	1
113	114	0.047515	0.03276	1	1
417	91	0.388892	0.268128	1	1
37	40	0.1041675	0.07182	1	1
369	347	0.1187875	0.0819	1	1
114	111	0.040205	0.02772	1	1
91	1	0.3410115	0.235116	1	1
40	42	0.11696	0.08064	1	1
382	250	0.010965	0.00756	1	1
93	112	0.032895	0.02268	1	1
91	86	0.0128524	0.0108504	1	1
42	47	0.08041	0.05544	1	1
382	369	0.018275	0.0126	1	1
112	113	0.076755	0.05292	1	1
1	16	0.08772	0.06048	1	1
47	49	0.0731	0.0504	1	1
207	276	0.067252	0.046368	1	1
105	94	0.084065	0.05796	1	1
5	6	0.040205	0.02772	1	1
19	32	0.06579	0.04536	1	1
276	277	0.032895	0.02268	1	1
94	111	0.032895	0.02268	1	1
6	2	0.051901	0.035784	1	1
83	32	0.0420325	0.02898	1	1
276	278	0.048246	0.033264	1	1
93	110	0.06579	0.04536	1	1
17	4	0.1224425	0.08442	1	1
27	35	0.091375	0.063	1	1
278	279	0.034357	0.023688	1	1
110	105	0.06579	0.04536	1	1
4	5	0.0493425	0.03402	1	1
35	44	0.13158	0.09072	1	1
279	280	0.062135	0.04284	1	1
118	120	0.0102235	0.008631	1	1
16	17	0.11696	0.08064	1	1
48	44	0.04386	0.03024	1	1
280	234	0.0493425	0.03402	1	1
93	118	0.056028	0.066091	1	1
1	13	0.0164475	0.01134	1	1
54	22	0.076755	0.05292	1	1
280	281	0.0537285	0.037044	1	1
117	83	0.040205	0.02772	1	1
7	8	0.09503	0.06552	1	1
22	27	0.069445	0.04788	1	1
234	233	0.083334	0.057456	1	1
118	121	0.05117	0.03528	1	1
8	2	0.01462	0.01008	1	1
32	54	0.04386	0.03024	1	1
234	235	0.0420325	0.02898	1	1
121	117	0.201025	0.1386	1	1
15	18	0.157165	0.10836	1	1
20	49	0.03655	0.0252	1	1
207	235	0.076755	0.05292	1	1
103	104	0.049657	0.041922	1	1
18	7	0.02193	0.01512	1	1
31	43	0.25585	0.1764	1	1
231	348	0.075946	0.064116	1	1
83	103	0.0731	0.0504	1	1
13	15	0.098685	0.06804	1	1
36	31	0.105995	0.07308	1	1
348	206	0.032131	0.027126	1	1
104	107	0.06579	0.04536	1	1
1	12	0.032131	0.027126	1	1
41	36	0.0676175	0.04662	1	1
379	228	0.0411861	0.0347706	1	1
108	107	0.049657	0.041922	1	1
3	11	0.067183	0.056718	1	1
45	41	0.025585	0.01764	1	1
228	227	0.0630936	0.0532656	1	1
83	108	0.047515	0.03276	1	1
11	14	0.105156	0.088776	1	1
45	49	0.03655	0.0252	1	1
231	230	0.0968575	0.06678	1	1
109	83	0.04386	0.03024	1	1
14	10	0.1329055	0.112203	1	1
20	48	0.135235	0.09324	1	1
231	292	0.0749275	0.05166	1	1
102	109	0.076755	0.05292	1	1
12	3	0.0452755	0.038223	1	1
38	29	0.11696	0.08064	1	1
292	235	0.069445	0.04788	1	1
106	102	0.054825	0.0378	1	1
10	85	0.035052	0.029592	1	1
48	38	0.08772	0.06048	1	1
220	343	0.02924	0.02016	1	1
83	106	0.06579	0.04536	1	1
85	90	0.09503	0.06552	1	1
52	21	0.040205	0.02772	1	1
